votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,area,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_old,age_young,age_adult,ethnic_female,ethnic_male
709,2.5,47313.0,27669.0,16.0,3.440187647,1.209677419,1311.0,2067.46,0.968253968,0.001587302,0.014285714,0.0,0.008730159,0.562698413,0,Sioux County,NE,93.6,138,0.35079365,0.26666666699999997,0.31825396699999997,0.470634921,0.497619048
208980,7.7,41895.0,25062.0,23.3,12.02821044,19.28272981,620961.0,92.05,0.316983705,0.629271736,0.004359579,0.000916621,0.009735482,0.336062292,1,Baltimore city,MD,82.6,108,0.205249184,0.322959433,0.43520211499999994,0.342235816,0.28703592
77261,2.7,61908.0,33881.0,11.0,5.610802118,5.049699146,156545.0,619.3,0.912208301,0.025504703,0.002509574,0.000539094,0.010317136,0.478746081,1,Chittenden County,VT,93.80000000000001,55,0.22196403499999998,0.34270240900000004,0.38566259,0.466371714,0.445836586
7471,12.5,43245.0,24737.0,17.4,6.386687797,10.07853403,5559.0,7683.28,0.757509718,0.129664614,0.011953529,0.00229854,0.012373888,1.17820533,0,Prince of Wales-Hyder Census Area,AK,90.5,67,0.221781173,0.319733914,0.390365411,0.382213676,0.375296042
136392,3.9,66560.0,37147.0,8.2,4.265532508,5.254879373,190039.0,821.53,0.892834451,0.055987469,0.003450406,0.000847158,0.009552594,0.601800212,0,St. Johns County,FL,93.8,83,0.26188227999999997,0.286295446,0.377837098,0.457739146,0.435095305
14277,6.2,37968.0,21656.0,21.7,9.650803963,14.14255293,31594.0,658.56,0.799802793,0.169312001,0.007602023,0.000222653,0.009955787,0.454117497,0,Jefferson Davis Parish,LA,78.8,148,0.235090175,0.34848436600000005,0.37176755100000003,0.407646554,0.392156239
22129,2.9,57142.0,29073.0,10.4,4.584937553,6.0,43742.0,551.99,0.966113529,0.006656271,0.003770335,0.000186189,0.007610492,0.515023157,0,Sullivan County,NH,89.5,45,0.291363139,0.261875392,0.37184350699999996,0.488607536,0.477505993
1206,2.9,45710.0,33132.0,10.2,1.972818939,1.851851852,2343.0,988.71,0.962272149,0.007206443,0.007630352,0.000847817,0.007630352,0.511233574,0,Adams County,ND,96.0,545,0.354811359,0.256040694,0.318779144,0.495125053,0.467147096
7678,5.9,43562.0,22801.0,14.7,4.537676659,6.067610517,16644.0,599.21,0.961320237,0.020682082,0.002989445,0.000366055,0.005002745,0.468427796,0,Crawford County,WI,89.9,189,0.30291013299999997,0.279848698,0.346409614,0.472271368,0.489048868
3598,6.5,36128.0,17379.0,23.9,9.752977069,17.66732283,12010.0,251.21,0.654264654,0.317743068,0.004826255,0.000789751,0.005089505,0.315724816,0,Pulaski County,GA,80.9,72,0.271147771,0.27711477799999995,0.38917164000000004,0.356528607,0.297736048
45895,4.8,48194.0,22834.0,14.5,5.951874841,8.262810379,99892.0,761.41,0.939648788,0.029328518,0.005762227,0.000375356,0.009779554,0.465594027,0,Lenawee County,MI,89.7,117,0.257281405,0.30805595900000005,0.371521614,0.469885263,0.469763526
29799,7.1,42036.0,21924.0,19.0,8.825260357,14.5101761,81625.0,901.28,0.827363084,0.137168588,0.003645216,0.000378396,0.011276204,0.375860851,0,Vermilion County,IL,86.80000000000001,93,0.257208445,0.325723367,0.36305845,0.418506092,0.408856991
24232,6.2,51025.0,26845.0,11.3,5.117396705,7.211197732,50486.0,825.64,0.958394795,0.019357837,0.003051183,0.000282891,0.006526703,0.489644163,0,Henry County,IL,89.6,241,0.27494998800000003,0.300309159,0.36032249599999994,0.481662592,0.476732203
16661,5.7,45283.0,24590.0,15.6,6.485893524,9.471153846,30952.0,1148.6,0.949297842,0.007972247,0.01377631,0.000967344,0.010040362,0.555755696,0,Delta County,CO,88.9,67,0.32762934099999996,0.266386469,0.319156742,0.47606658,0.473231262
5069,3.1,43453.0,21044.0,24.9,15.63517915,13.84548611,13864.0,417.24,0.907619593,0.016041249,0.029003151,0.000716127,0.010383844,0.36300487,1,Clay County,SD,95.69999999999999,207,0.168934403,0.5002148390000001,0.293826983,0.459538814,0.448080779
16098,5.1,39779.0,21348.0,16.9,6.194013546,9.026527428,36903.0,601.83,0.961474397,0.005050776,0.008032884,0.000832841,0.010074687,0.432486164,0,Boone County,AR,85.8,165,0.274488206,0.295900274,0.36110364799999994,0.488152168,0.473322229
23860,4.4,49400.0,26592.0,12.9,6.342654987,10.53685897,49285.0,212.01,0.841925558,0.110709677,0.003215881,0.000377171,0.011751861,0.473647643,0,Franklin County,KY,86.8,96,0.24831761800000002,0.307732009,0.38546898399999996,0.437856079,0.404069479
8542,3.6,51514.0,29138.0,11.5,3.026356589,3.598117908,16667.0,572.59,0.971769552,0.008057188,0.002726116,6.06e-05,0.005452232,0.517477434,0,Clay County,IA,93.30000000000001,298,0.28963469999999997,0.302417155,0.353001755,0.494638638,0.477130914
10123,8.4,33869.0,19022.0,22.8,9.562661531,20.19470794,20972.0,443.76,0.409873481,0.514562143,0.054577028,0.000248077,0.008583478,0.502257504,1,Warren County,NC,77.8,139,0.31669561,0.265492434,0.34224758199999994,0.259836269,0.254725874
2921,3.9,42006.0,22433.0,16.7,3.669432036,2.194148936,6403.0,527.15,0.977603759,0.005794832,0.002192639,0.000313234,0.004698512,0.457478465,0,Wayne County,IA,89.5,99,0.31088488599999997,0.312920907,0.318872358,0.504150352,0.473453406
18113,5.6,46387.0,22339.0,16.7,6.506514658,11.42265713,50477.0,898.63,0.966218983,0.010113832,0.003889935,0.00018426,0.008066497,0.370833675,0,Chenango County,NY,87.2,116,0.286217345,0.284763737,0.35994185700000003,0.485095406,0.481123577
